switch,5,,average,10.40745856
module,5,,,
architecture,17,,,
homogeneous,5,,,
3d,24,,,
fpgas,22,,,
novel,48,,,
synthesis,42,,,
algorithm,98,,,
reversible,22,,,
circuits,27,,,
optimization,92,,,
behavior,182,,,
substitutionbased,3,,,
circuit,18,,,
algorithms,39,,,
improvement,47,,,
fpgabased,4,,,
model,152,,,
emulation,4,,,
quantum,35,,,
reconfigurable,15,,,
hardware,9,,,
ip,4,,,
lookup,5,,,
cyclebased,4,,,
logic,23,,,
moving,21,,,
forward,5,,,
nonsearch,3,,,
toward,4,,,removed words (with value more than 200)
efficient,38,,,investigation
cnotbased,6,,,method
reducing,21,,,based
reconfiguration,5,,,using
time,52,,,effect
computing,14,,,study
systems,99,,,analysis
integrated,23,,,numerical
temporal,9,,,experimental
partitioning,3,,,
physical,25,,,
design,150,,,
framework,9,,,
functional,6,,,
unit,11,,,
adaptive,36,,,
dynamic,97,,,
extensible,5,,,
processor,5,,,
technique,27,,,
structure,50,,,
high,43,,,
resolution,4,,,
trojan,4,,,
detection,47,,,
algebraic,3,,,
characterization,14,,,
applications,19,,,
cellular,9,,,
learning,13,,,
automata,7,,,
evolutionary,8,,,
intrinsic,3,,,
evolution,8,,,
improving,21,,,
latency,3,,,
gate,8,,,
multidomain,3,,,
clock,8,,,
skew,6,,,
placement,15,,,
distribution,58,,,
network,54,,,
heterogeneous,4,,,
parallel,21,,,
implementation,17,,,
fpga,11,,,
box,6,,,
mitigate,4,,,
short,5,,,
faults,4,,,
srambased,3,,,
speed,17,,,
hierarchical,6,,,
layout,8,,,
generation,24,,,
fast,18,,,
evaluation,149,,,
thorough,3,,,
set,7,,,
metrics,7,,,
representation,4,,,
boolean,3,,,
functions,14,,,
power,95,,,
consumption,13,,,
routing,27,,,
variation,16,,,
leakage,8,,,
reduction,44,,,
analytical,57,,,
approach,87,,,
buffer,10,,,
insertion,9,,,
block,5,,,
planning,30,,,
large,21,,,
signal,8,,,
shifting,4,,,
oneway,11,,,
computation,17,,,
measurement,18,,,
patterns,6,,,
extracting,3,,,
performance,191,,,
timing,12,,,
yield,14,,,
enhancement,18,,,
space,7,,,
coarse,8,,,
grain,4,,,
congestion,22,,,
prediction,53,,,
metric,7,,,
definition,3,,,
estimation,43,,,
refinement,3,,,
designs,5,,,
simulator,5,,,
process,79,,,
multiple,21,,,
configurations,5,,,
soft,18,,,
contour,3,,,
plotting,3,,,
neural,44,,,
problem,18,,,
aging,3,,,
mitigation,7,,,
considering,51,,,
delay,18,,,
temperature,43,,,
graphbased,3,,,
protection,7,,,
active,24,,,
authentication,4,,,
acceleration,4,,,
comparing,9,,,
estimating,11,,,
resources,5,,,
simultaneous,20,,,
sizing,9,,,
scheduling,18,,,
statistical,20,,,
proposing,11,,,
estimate,5,,,
reduce,10,,,
vlsi,3,,,
TRUE,3,,,
routers,4,,,
intelligence,7,,,
memory,13,,,
usage,10,,,
kohonen,3,,,
map,6,,,
regular,5,,,
exact,4,,,
diagonal,4,,,
ring,9,,,
gates,8,,,
parameters,102,,,
tuning,3,,,
area,18,,,
fault,26,,,
tsv,3,,,
resource,10,,,
input,10,,,
chip,6,,,
master,4,,,
methodology,19,,,
improve,25,,,
closure,6,,,
complexity,3,,,
management,35,,,
ultra,3,,,
multiobjective,12,,,
uncertainty,12,,,
incorporating,5,,,
scheme,13,,,
retiming,3,,,
networks,39,,,
indexes,4,,,
decomposition,6,,,
hermitian,3,,,
pattern,14,,,
cost,17,,,
improved,23,,,
flow,157,,,
architectures,4,,,
compression,21,,,
utilizing,12,,,
enhanced,4,,,
efficiency,17,,,
netlist,3,,,
static,29,,,
configuration,6,,,
computer,13,,,
simulation,163,,,
switching,8,,,
system,124,,,
asynchronous,4,,,
synchronous,5,,,
commercial,3,,,
speech,4,,,
coding,3,,,
heuristic,3,,,
level,14,,,
hybrid,49,,,
new,89,,,
enhance,5,,,
quality,14,,,
service,3,,,
data,30,,,
mobile,10,,,
cloud,5,,,
response,49,,,
allocation,11,,,
table,8,,,
contents,4,,,
microgrid,8,,,
methods,35,,,
factors,23,,,
ac,12,,,
field,53,,,
arbitrary,3,,,
distance,7,,,
size,14,,,
long,11,,,
cracks,14,,,
metals,11,,,
interaction,42,,,
fuzzy,56,,,
clustering,6,,,
defects,5,,,
materials,27,,,
surface,88,,,
modeling,115,,,
inclined,5,,,
lightning,4,,,
stroke,3,,,
channels,6,,,
break,4,,,
points,6,,,
finding,4,,,
expert,4,,,
coordination,3,,,
wavelet,16,,,
reconstruction,5,,,
fatigue,21,,,
crack,27,,,
depth,11,,,
profile,7,,,
signals,6,,,
ground,21,,,
electrodes,6,,,
buried,7,,,
soil,61,,,
when,3,,,
subjected,26,,,
surge,4,,,
currents,3,,,
rectangular,30,,,
openended,3,,,
shape,25,,,
output,9,,,
waveguide,6,,,
probe,6,,,
scanning,3,,,
risk,19,,,
special,9,,,
online,5,,,
transient,22,,,
instability,12,,,
thinwire,3,,,
radar,5,,,
target,6,,,
optimal,61,,,
maximum,12,,,
likelihood,4,,,
filter,18,,,
eddy,9,,,
current,19,,,
images,9,,,
electromagnetic,4,,,
channel,28,,,
electric,17,,,
integral,6,,,
equation,20,,,
domain,15,,,
structures,64,,,
media,15,,,
greens,3,,,
basis,4,,,
solving,8,,,
used,11,,,
induction,12,,,
magnetic,28,,,
array,10,,,
location,11,,,
substrate,6,,,
decentralized,4,,,
cooperative,5,,,
control,129,,,
strategy,7,,,
autonomous,4,,,
microgrids,13,,,
twostage,3,,,
energy,79,,,
loss,12,,,
minimization,5,,,
smart,9,,,
independent,3,,,
distributed,9,,,
dg,4,,,
introducing,5,,,
dc,11,,,
reactive,7,,,
considerations,5,,,
fuel,42,,,
stability,61,,,
frequency,27,,,
voltage,22,,,
constraints,6,,,
optimum,16,,,
renewable,6,,,
reliability,16,,,
indices,6,,,
feedback,9,,,
hvdc,4,,,
transmission,12,,,
effects,117,,,
complex,10,,,
wire,3,,,
located,6,,,
differential,10,,,
contingency,3,,,
application,45,,,
ahp,5,,,
transformer,3,,,
internal,14,,,
test,32,,,
robust,20,,,
theory,42,,,
genetic,31,,,
policy,3,,,
calculation,12,,,
emission,14,,,
suitable,5,,,
source,12,,,
converters,4,,,
load,48,,,
determination,35,,,
operation,12,,,
units,6,,,
grids,4,,,
gridconnected,5,,,
generators,3,,,
mode,45,,,
site,7,,,
through,29,,,
mean,3,,,
probabilistic,18,,,
pv,3,,,
damping,8,,,
direct,13,,,
lyapunov,3,,,
dual,13,,,
wind,47,,,
farms,4,,,
converter,4,,,
cell,37,,,
three,9,,,
phase,31,,,
modified,37,,,
pid,4,,,
controller,22,,,
intelligent,7,,,
utilization,3,,,
hierarchy,5,,,
ranking,7,,,
simple,12,,,
offshore,8,,,
photovoltaic,12,,,
connected,6,,,
development,36,,,
arc,5,,,
discharge,19,,,
acoustic,8,,,
surfaces,8,,,
fractional,3,,,
order,25,,,
sharing,5,,,
ga,3,,,
partial,10,,,
nonlinear,77,,,
state,29,,,
bidirectional,5,,,
islanded,4,,,
pem,5,,,
battery,7,,,
storage,13,,,
green,4,,,
concept,7,,,
penetration,16,,,
sources,3,,,
environmental,11,,,
subject,6,,,
costs,3,,,
thermal,63,,,
electrical,12,,,
environment,17,,,
farm,3,,,
solar,24,,,
realtime,4,,,
condition,15,,,
isolated,8,,,
simultaneously,4,,,
variable,21,,,
length,10,,,
discrete,14,,,
denoising,5,,,
single,21,,,
gap,7,,,
