switch,9
module,8
architecture,40
homogeneous,8
3d,39
fpgas,22
switches,11
field,133
programmable,46
gate,59
arrays,51
delay,68
routing,84
topology,11
logic,121
devices,4
silicon,8
integrated,61
circuit,96
interconnections,20
novel,49
synthesis,76
algorithm,255
reversible,28
circuits,73
quantum,97
computing,95
design,348
automation,15
engineering,63
gates,45
energy,230
dissipation,38
data,74
structures,96
boolean,15
functions,45
optimization,257
cmos,20
cost,39
function,60
application,56
software,38
behavior,241
substitutionbased,3
algorithms,89
improvement,60
optical,15
equations,42
runtime,4
fpgabased,4
model,374
emulation,8
computational,61
modeling,244
parallel,46
processing,43
simulation,291
computer,48
hardware,51
tensile,39
stress,123
reconfigurable,21
ip,9
address,4
lookup,10
internet,9
specific,6
networks,69
costs,17
cyclebased,4
libraries,8
efficiency,48
moving,34
forward,11
nonsearch,3
toward,4
efficient,39
cnotbased,6
mechanics,27
information,40
state-space,4
methods,70
transistors,9
physics,12
reducing,24
reconfiguration,6
time,120
systems,194
temporal,12
partitioning,12
physical,53
framework,11
informatics,3
science,9
functional,13
unit,22
adaptive,73
dynamic,219
extensible,5
processor,9
intelligence,14
society,6
technology,38
program,8
technique,41
probabilistic,29
benchmark,15
testing,35
trojan,10
horses,5
clocks,14
noise,26
structure,92
high,72
resolution,7
detection,89
semiconductor,7
device,16
measurement,46
delays,10
transient,46
algebraic,4
characterization,14
applications,20
biological,12
system,288
biology,3
cellular,17
learning,37
automata,14
evolutionary,14
intrinsic,5
evolution,9
computation,25
genetic,79
programming,33
particle,62
swarm,24
consumption,35
concurrent,8
improving,22
latency,4
exchanging,3
digital,40
methodology,36
multidomain,3
clock,9
skew,9
placement,24
distribution,107
network,119
registers,4
scheduling,45
effects,142
wire,22
sequential,11
heterogeneous,7
very,22
large,55
scale,41
integration,25
implementation,18
fpga,18
architectures,8
nearest,4
neighbor,4
box,13
mitigate,4
short,7
faults,10
srambased,3
random,19
access,3
memory,29
speed,37
cryptography,6
system-on-a-chip,3
hierarchical,9
layout,18
generation,52
optimal,93
complexity,7
theory,131
fast,24
sorting,6
hamming,3
distance,18
evaluation,169
thorough,3
set,15
metrics,8
space,15
nuclear,8
magnetic,57
resonance,24
error,19
aided,5
manufacturing,21
representation,4
input,18
variables,8
mining,18
power,265
